Stock,Stock Name,Stock Long Name,Board,Sector
"=""5115""",ALAM,ALAM MARITIM RESOURCES BHD,MAIN MARKET,ENERGY
"=""5116""",ALAQAR,AL-AQAR HEALTHCARE REIT,MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS
"=""5120""",AMFIRST,AMFIRST REITS,MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS
"=""5121""",HEKTAR,HEKTAR REITS,MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS
"=""5123""",MQREIT,MRCB-QUILL REIT,MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS
"=""5125""",PANTECH,PANTECH GROUP HOLDINGS BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5125WA""",PANTECH-WA,PANTECH GROUP-WARRANTS 10/20,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5125WB""",PANTECH-WB,PANTECH GROUP HOLDINGS BERHAD - WARRANTS B 2016/2021,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5126""",SOP,SARAWAK OIL PALMS BHD,MAIN MARKET,PLANTATION
"=""5127""",ARREIT,AMANAHRAYA REITS,MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS
"=""5129""",MELATI,MELATI EHSAN HOLDINGS BHD,MAIN MARKET,CONSTRUCTION
"=""5130""",ATRIUM,ATRIUM REITS,MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS
"=""5131""",ZHULIAN,ZHULIAN CORPORATION BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5132""",DELEUM,DELEUM BHD,MAIN MARKET,ENERGY
"=""5133""",PENERGY,PETRA ENERGY BHD,MAIN MARKET,ENERGY
"=""5134""",SAB,SOUTHERN ACIDS (M) BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5135""",SWKPLNT,SARAWAK PLANTATION BHD,MAIN MARKET,PLANTATION
"=""5136""",COMPLET,COMPLETE LOGISTIC SERVICES BHD,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""5138""",HSPLANT,HAP SENG PLANTATIONS HOLDINGS,MAIN MARKET,PLANTATION
"=""5139""",AEONCR,AEON CREDIT SERVICE (M) BHD,MAIN MARKET,FINANCIAL SERVICES
"=""5139LA""",AEONCR-LA,AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,LOANS,FINANCIAL SERVICES
"=""5140""",TASCO,TASCO BERHAD,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""5141""",DAYANG,DAYANG ENTERPRISE HOLDINGS BHD,MAIN MARKET,ENERGY
"=""5142""",WASEONG,WAH SEONG CORPORATION BHD,MAIN MARKET,ENERGY
"=""5143""",LUXCHEM,LUXCHEM CORPORATION BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5145""",SEALINK,SEALINK INTERNATIONAL BHD,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""5147""",SAMCHEM,SAMCHEM HOLDINGS BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5148""",UEMS,UEM SUNRISE BERHAD,MAIN MARKET,PROPERTY
"=""514860""",UEMS-C60,UEMS-C60: CW UEM SUNRISE BERHAD (CIMB),STRCWARR,PROPERTY
"=""514861""",UEMS-C61,UEMS-C61: CW UEM SUNRISE BERHAD (AM),STRCWARR,PROPERTY
"=""514862""",UEMS-C62,UEMS-C62: CW UEM SUNRISE BERHAD (RHB),STRCWARR,PROPERTY
"=""514863""",UEMS-C63,UEMS-C63: CW UEM SUNRISE BERHAD (MACQ),STRCWARR,PROPERTY
"=""514864""",UEMS-C64,UEMS-C64: CW UEM SUNRISE BERHAD (MIBB),STRCWARR,PROPERTY
"=""514865""",UEMS-C65,UEMS-C65: CW UEM SUNRISE BERHAD (MACQ),STRCWARR,PROPERTY
"=""514866""",UEMS-C66,UEMS-C66: CW UEM SUNRISE BERHAD (KIBB),STRCWARR,PROPERTY
"=""5149""",TAS,TAS OFFSHORE BERHAD,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""5150""",MSPORTS,MULTI SPORTS HOLDINGS LTD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5151""",HALEX,HALEX HOLDINGS BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5152""",MBL,MUAR BAN LEE GROUP BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5152WA""",MBL-WA,MUAR BAN LEE-WARRANTS 12/22,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5155""",XINQUAN,XINGQUAN INT SPORTS HLDG LTD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5155WA""",XINQUAN-WA,XINGQUAN INT SPORTS HLDG LTD-WARRANT 14/19,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5155WB""",XINQUAN-WB,XINGQUAN INTERNATIONAL SPORTS HOLDINGS LIMITED-WARRANTS 2016/2021,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5156""",XDL,XIDELANG HOLDINGS LTD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5157""",SAUDEE,SAUDEE GROUP BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5157WA""",SAUDEE-WA,SAUDEE GROUP BERHAD - WARRANTS 2016/2021,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5158""",TAGB,TA GLOBAL BHD,MAIN MARKET,PROPERTY
"=""5159""",YOCB,YOONG ONN CORPORATION BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5160""",HOMERIZ,HOMERITZ CORPORATION BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5160WA""",HOMERIZ-WA,HOMERITZ CORPORATION BERHAD - WARRANTS 2015/2020,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
